neighborhood_name,Total_Parcels,Problem_Parcels,Non_Problem_Parcels,Burden_Ratio,Burden_Percentage
Hazelwood,898,811,87,0.9031180400890868,90.31180400890868
Perry South,828,779,49,0.9408212560386473,94.08212560386472
Homewood North,586,532,54,0.9078498293515358,90.78498293515358
Larimer,520,481,39,0.925,92.5
Perry North,434,421,13,0.9700460829493087,97.00460829493088
Sheraden,433,412,21,0.9515011547344111,95.1501154734411
Garfield,429,390,39,0.9090909090909091,90.9090909090909
Homewood South,422,364,58,0.8625592417061612,86.25592417061611
Lincoln-Lemington-Belmar,414,369,45,0.8913043478260869,89.13043478260869
Beltzhoover,380,333,47,0.8763157894736842,87.63157894736841
Duquesne Heights,368,356,12,0.967391304347826,96.73913043478261
Middle Hill,349,316,33,0.9054441260744985,90.54441260744986
Fineview,290,264,26,0.9103448275862069,91.0344827586207
Spring Hill-City View,278,254,24,0.9136690647482014,91.36690647482014
Elliott,261,235,26,0.9003831417624522,90.03831417624522
California-Kirkbride,259,252,7,0.972972972972973,97.2972972972973
South Side Slopes,248,223,25,0.8991935483870968,89.91935483870968
Brookline,226,220,6,0.9734513274336283,97.34513274336283
New Homestead,222,222,0,1.0,100.0
Beechview,205,192,13,0.9365853658536586,93.65853658536587
Allentown,203,166,37,0.8177339901477833,81.77339901477832
South Oakland,203,194,9,0.9556650246305419,95.56650246305419
Homewood West,196,177,19,0.9030612244897959,90.3061224489796
Crafton Heights,188,178,10,0.9468085106382979,94.68085106382979
Carrick,186,173,13,0.9301075268817204,93.01075268817203
Crawford-Roberts,185,171,14,0.9243243243243243,92.43243243243244
Marshall-Shadeland,184,161,23,0.875,87.5
Brighton Heights,178,166,12,0.9325842696629213,93.25842696629213
West Oakland,166,158,8,0.9518072289156626,95.18072289156626
Upper Hill,162,135,27,0.8333333333333334,83.33333333333334
East Hills,158,145,13,0.9177215189873418,91.77215189873418
Spring Garden,151,123,28,0.8145695364238411,81.45695364238411
Polish Hill,144,138,6,0.9583333333333334,95.83333333333334
Mount Washington,134,112,22,0.835820895522388,83.5820895522388
Stanton Heights,120,117,3,0.975,97.5
Manchester,111,83,28,0.7477477477477478,74.77477477477478
Greenfield,109,103,6,0.944954128440367,94.4954128440367
Westwood,95,91,4,0.9578947368421052,95.78947368421052
Arlington,86,80,6,0.9302325581395349,93.02325581395348
Hays,80,78,2,0.975,97.5
Strip District,79,67,12,0.8481012658227848,84.81012658227847
Overbrook,77,73,4,0.948051948051948,94.8051948051948
Ridgemont,69,69,0,1.0,100.0
Troy Hill,69,55,14,0.7971014492753623,79.71014492753623
East Allegheny,67,57,10,0.8507462686567164,85.07462686567165
Knoxville,64,48,16,0.75,75.0
West End,63,47,16,0.746031746031746,74.60317460317461
Squirrel Hill South,63,56,7,0.8888888888888888,88.88888888888889
St. Clair,62,62,0,1.0,100.0
Bedford Dwellings,61,53,8,0.8688524590163934,86.88524590163934
Upper Lawrenceville,61,57,4,0.9344262295081968,93.44262295081968
Morningside,51,47,4,0.9215686274509803,92.15686274509804
Bon Air,49,42,7,0.8571428571428571,85.71428571428571
Fairywood,47,34,13,0.723404255319149,72.3404255319149
Central Northside,47,38,9,0.8085106382978723,80.85106382978722
Oakwood,42,39,3,0.9285714285714286,92.85714285714286
Lower Lawrenceville,39,32,7,0.8205128205128205,82.05128205128204
Bloomfield,39,27,12,0.6923076923076923,69.23076923076923
South Side Flats,37,25,12,0.6756756756756757,67.56756756756756
Bluff,35,23,12,0.6571428571428571,65.71428571428571
Mt. Oliver,34,31,3,0.9117647058823529,91.17647058823529
South Shore,33,32,1,0.9696969696969697,96.96969696969697
Northview Heights,33,33,0,1.0,100.0
Esplen,32,31,1,0.96875,96.875
Summer Hill,30,28,2,0.9333333333333333,93.33333333333333
Swisshelm Park,28,27,1,0.9642857142857143,96.42857142857143
Lincoln Place,26,21,5,0.8076923076923077,80.76923076923077
East Liberty,26,14,12,0.5384615384615384,53.84615384615385
